AX,AY,AZ,Activity
-0.03,0.02,-0.02,Dropping
-0.03,0.03,-0.1,Dropping
-1.45,-0.53,-0.92,Dropping
-1.03,-0.93,-0.07,Dropping
-0.95,-1.37,-0.1,Dropping
-1.04,-1.08,-0.08,Dropping
-1.0,0.22,-1.05,Dropping
0.03,-1.19,1.77,Dropping
-0.05,0.03,-0.45,Dropping
-0.48,-0.24,0.73,Dropping
0.01,0.03,0.67,Dropping
0.03,0.04,0.6,Dropping
0.01,,1.08,Dropping
0.11,-0.86,0.66,Dropping
-0.29,-1.38,0.57,Dropping
-0.25,-1.32,0.61,Dropping
0.56,-0.72,0.65,Dropping
0.06,-0.2,0.26,Dropping
-0.04,0.02,0.04,Dropping
,,0.01,Dropping
0.01,,0.01,Dropping
0.01,,0.01,Dropping
0.02,,0.02,Dropping
-1.43,-0.67,-0.28,Dropping
-1.15,-0.93,-0.28,Dropping
-0.05,-0.22,0.05,Dropping
-0.98,-0.27,1.27,Dropping
0.09,-0.29,0.03,Dropping
0.07,-0.15,1.56,Dropping
-0.09,-0.02,0.78,Dropping
0.02,-0.01,0.94,Dropping
0.01,-0.01,1.04,Dropping
0.02,,1.01,Dropping
